"Nikola Jokić","DEN",11.7
"Giannis Antetokounmpo","MIL",8.8
"Stephen Curry","GSW",8.1
"LeBron James","LAL",7.5
"Jimmy Butler","MIA",7.5
"James Harden","BRK",7.2
"Joel Embiid","PHI",7.2
"Kevin Durant","BRK",6.9
"James Harden","TOT",6.8
"Kawhi Leonard","LAC",6.7
"Luka Dončić","DAL",6.7
"Damian Lillard","POR",5.9
"Nikola Vučević","ORL",5.6
"Zion Williamson","NOP",5.4
"Kyrie Irving","BRK",5.3
"Nikola Vučević","TOT",5.1
"Chris Paul","PHO",4.7
"Bam Adebayo","MIA",4.7
"James Harden","HOU",4.6
"Rudy Gobert","UTA",4.5
"Anthony Davis","LAL",4.5
"Mike Conley","UTA",4.4
"Karl-Anthony Towns","MIN",4.3
"Nikola Vučević","CHI",4.2
"Domantas Sabonis","IND",3.9
"Kelly Olynyk","HOU",3.8
"Shai Gilgeous-Alexander","OKC",3.8
"Bogdan Bogdanović","ATL",3.8
"Jayson Tatum","BOS",3.7
"Julius Randle","NYK",3.7
"Zach LaVine","CHI",3.7
"Paul George","LAC",3.7
"Trae Young","ATL",3.6
"Donovan Mitchell","UTA",3.5
"Jrue Holiday","MIL",3.5
"Russell Westbrook","WAS",3.4
"Joe Ingles","UTA",3.4
"Tobias Harris","PHI",3.4
"CJ McCollum","POR",3.3
"Al Horford","OKC",3.3
"DeMar DeRozan","SAS",3.2
"Bradley Beal","WAS",3.2
"Kyle Anderson","MEM",3.1
"Michael Porter Jr.","DEN",3.
"Mikal Bridges","PHO",3.
"Delon Wright","DET",2.8
"Jonas Valančiūnas","MEM",2.7
"Ben Simmons","PHI",2.7
"Clint Capela","ATL",2.5
"Jaylen Brown","BOS",2.5
"Khyri Thomas","HOU",2.3
"Fred VanVleet","TOR",2.2
"Brandon Ingram","NOP",2.2
"Mason Plumlee","DET",2.1
"John Collins","ATL",2.1
"Delon Wright","TOT",2.
"Kristaps Porziņģis","DAL",2.
"Derrick Rose","NYK",1.9
"LaMelo Ball","CHO",1.9
"Jarrett Allen","BRK",1.9
"Kemba Walker","BOS",1.8
"Jamal Murray","DEN",1.7
"LaMarcus Aldridge","BRK",1.7
"Lonzo Ball","NOP",1.6
"Terry Rozier","CHO",1.5
"Derrick Rose","TOT",1.5
"T.J. McConnell","IND",1.5
"Draymond Green","GSW",1.5
"Danny Green","PHI",1.5
"Malcolm Brogdon","IND",1.5
"Christian Wood","HOU",1.4
"Gordon Hayward","CHO",1.4
"De'Aaron Fox","SAC",1.4
"Nicolas Batum","LAC",1.4
"Khris Middleton","MIL",1.3
"Evan Fournier","ORL",1.3
"Norman Powell","TOR",1.2
