,Home Team,Away Team,GAME_DATE,GAME_ID
2,LAL,BOS,2021-12-07,0022100365
4,SAS,NYK,2021-12-07,0022100364
10,DAL,BKN,2021-12-07,0022100363
14,CHI,DEN,2021-12-06,0022100357
16,MIL,CLE,2021-12-06,0022100358
18,DET,OKC,2021-12-06,0022100354
19,IND,WAS,2021-12-06,0022100355
20,MIN,ATL,2021-12-06,0022100359
22,MIA,MEM,2021-12-06,0022100356
24,CHA,PHI,2021-12-06,0022100353
29,PHX,SAS,2021-12-06,0022100360
32,GSW,ORL,2021-12-06,0022100361
34,POR,LAC,2021-12-06,0022100362
40,HOU,NOP,2021-12-05,0022100352
41,TOR,WAS,2021-12-05,0022100351
43,ATL,CHA,2021-12-05,0022100350
50,CLE,UTA,2021-12-05,0022100349
54,DAL,MEM,2021-12-04,0022100345
58,GSW,SAS,2021-12-04,0022100346
62,MIL,MIA,2021-12-04,0022100344
64,BKN,CHI,2021-12-04,0022100343
67,NYK,DEN,2021-12-04,0022100342
72,POR,BOS,2021-12-04,0022100347
74,SAC,LAC,2021-12-04,0022100348
78,WAS,CLE,2021-12-03,0022100334
82,IND,MIA,2021-12-03,0022100333
88,BKN,MIN,2021-12-03,0022100336
90,ATL,PHI,2021-12-03,0022100335
91,GSW,PHX,2021-12-03,0022100340
95,LAL,LAC,2021-12-03,0022100341
101,UTA,BOS,2021-12-03,0022100339
103,DAL,NOP,2021-12-03,0022100338
108,HOU,ORL,2021-12-03,0022100337
110,MEM,OKC,2021-12-02,0022100330
111,TOR,MIL,2021-12-02,0022100329
113,NYK,CHI,2021-12-02,0022100328
117,POR,SAS,2021-12-02,0022100332
119,PHX,DET,2021-12-02,0022100331
124,LAC,SAC,2021-12-01,0022100327
125,BOS,PHI,2021-12-01,0022100322
130,IND,ATL,2021-12-01,0022100319
131,MIL,CHA,2021-12-01,0022100324
133,OKC,HOU,2021-12-01,0022100326
137,NOP,DAL,2021-12-01,0022100325
139,MIA,CLE,2021-12-01,0022100323
142,ORL,DEN,2021-12-01,0022100320
144,WAS,MIN,2021-12-01,0022100321
146,BKN,NYK,2021-11-30,0022100314
147,SAC,LAL,2021-11-30,0022100318
149,POR,DET,2021-11-30,0022100317
152,TOR,MEM,2021-11-30,0022100315
154,PHX,GSW,2021-11-30,0022100316
158,PHI,ORL,2021-11-29,0022100305
160,MIA,DEN,2021-11-29,0022100306
161,HOU,OKC,2021-11-29,0022100308
163,CHI,CHA,2021-11-29,0022100307
167,MIN,IND,2021-11-29,0022100309
169,DAL,CLE,2021-11-29,0022100310
171,SAS,WAS,2021-11-29,0022100311
173,UTA,POR,2021-11-29,0022100312
178,LAC,NOP,2021-11-29,0022100313
187,LAL,DET,2021-11-28,0022100304
189,TOR,BOS,2021-11-28,0022100302
191,MEM,SAC,2021-11-28,0022100303
197,IND,MIL,2021-11-28,0022100301
199,LAC,GSW,2021-11-28,0022100300
206,BKN,PHX,2021-11-27,0022100294
207,CLE,ORL,2021-11-27,0022100295
210,UTA,NOP,2021-11-27,0022100299
213,CHI,MIA,2021-11-27,0022100296
216,DAL,WAS,2021-11-27,0022100298
219,HOU,CHA,2021-11-27,0022100297
227,PHI,MIN,2021-11-27,0022100292
229,ATL,NYK,2021-11-27,0022100293
235,OKC,WAS,2021-11-26,0022100286
237,IND,TOR,2021-11-26,0022100284
239,MEM,ATL,2021-11-26,0022100285
241,ORL,CHI,2021-11-26,0022100283
243,NYK,PHX,2021-11-26,0022100282
244,LAC,DET,2021-11-26,0022100280
247,CHA,MIN,2021-11-26,0022100281
250,UTA,NOP,2021-11-26,0022100289
253,GSW,POR,2021-11-26,0022100290
255,LAL,SAC,2021-11-26,0022100291
257,DEN,MIL,2021-11-26,0022100288
265,SAS,BOS,2021-11-26,0022100287
268,OKC,UTA,2021-11-24,0022100276
269,MIL,DET,2021-11-24,0022100273
272,CLE,PHX,2021-11-24,0022100267
274,ORL,CHA,2021-11-24,0022100269
275,BOS,BKN,2021-11-24,0022100270
276,IND,LAL,2021-11-24,0022100268
282,MIN,MIA,2021-11-24,0022100274
283,MEM,TOR,2021-11-24,0022100272
285,SAS,ATL,2021-11-24,0022100277
287,NOP,WAS,2021-11-24,0022100275
288,GSW,PHI,2021-11-24,0022100278
290,SAC,POR,2021-11-24,0022100279
296,HOU,CHI,2021-11-24,0022100271
298,NYK,LAL,2021-11-23,0022100264
299,DET,MIA,2021-11-23,0022100263
306,LAC,DAL,2021-11-23,0022100266
308,POR,DEN,2021-11-23,0022100265
314,BOS,HOU,2021-11-22,0022100256
316,CLE,BKN,2021-11-22,0022100253
318,ATL,OKC,2021-11-22,0022100255
319,CHI,IND,2021-11-22,0022100257
322,WAS,CHA,2021-11-22,0022100254
323,MIL,ORL,2021-11-22,0022100258
327,SAS,PHX,2021-11-22,0022100260
328,NOP,MIN,2021-11-22,0022100259
330,SAC,PHI,2021-11-22,0022100262
333,UTA,MEM,2021-11-22,0022100261
336,DET,LAL,2021-11-21,0022100249
337,LAC,DAL,2021-11-21,0022100248
347,PHX,DEN,2021-11-21,0022100251
349,CHI,NYK,2021-11-21,0022100250
351,GSW,TOR,2021-11-21,0022100252
358,SAC,UTA,2021-11-20,0022100247
359,WAS,MIA,2021-11-20,0022100241
361,IND,NOP,2021-11-20,0022100240
363,BOS,OKC,2021-11-20,0022100243
366,ATL,CHA,2021-11-20,0022100242
369,NYK,HOU,2021-11-20,0022100239
371,POR,PHI,2021-11-20,0022100246
373,MIN,MEM,2021-11-20,0022100245
375,MIL,ORL,2021-11-20,0022100244
381,MIL,OKC,2021-11-19,0022100234
387,SAC,TOR,2021-11-19,0022100238
391,PHX,DAL,2021-11-19,0022100237
393,DEN,CHI,2021-11-19,0022100236
396,BOS,LAL,2021-11-19,0022100232
398,NOP,LAC,2021-11-19,0022100235
400,BKN,ORL,2021-11-19,0022100233
402,CHA,IND,2021-11-19,0022100230
404,DET,GSW,2021-11-19,0022100231
410,UTA,TOR,2021-11-18,0022100229
412,DEN,PHI,2021-11-18,0022100228
420,MIN,SAS,2021-11-18,0022100227
422,MEM,LAC,2021-11-18,0022100226
425,CLE,GSW,2021-11-18,0022100224
428,MIA,WAS,2021-11-18,0022100225
432,BKN,CLE,2021-11-17,0022100216
433,CHA,WAS,2021-11-17,0022100213
434,ATL,BOS,2021-11-17,0022100215
439,MIN,SAC,2021-11-17,0022100220
442,OKC,HOU,2021-11-17,0022100221
447,MIL,LAL,2021-11-17,0022100219
449,DET,IND,2021-11-17,0022100214
450,MIA,NOP,2021-11-17,0022100217
456,NYK,ORL,2021-11-17,0022100218
458,POR,CHI,2021-11-17,0022100223
460,PHX,DAL,2021-11-17,0022100222
468,BKN,GSW,2021-11-16,0022100210
469,UTA,PHI,2021-11-16,0022100211
471,LAC,SAS,2021-11-16,0022100212
476,DET,SAC,2021-11-15,0022100200
477,DAL,DEN,2021-11-15,0022100204
478,CLE,BOS,2021-11-15,0022100199
482,LAL,CHI,2021-11-15,0022100209
483,OKC,MIA,2021-11-15,0022100207
484,MIN,PHX,2021-11-15,0022100206
485,NYK,IND,2021-11-15,0022100203
489,MEM,HOU,2021-11-15,0022100205
490,ATL,ORL,2021-11-15,0022100202
493,WAS,NOP,2021-11-15,0022100201
496,POR,TOR,2021-11-15,0022100208
503,LAC,CHI,2021-11-14,0022100198
506,DEN,POR,2021-11-14,0022100197
510,CHA,GSW,2021-11-14,0022100194
512,LAL,SAS,2021-11-14,0022100192
515,HOU,PHX,2021-11-14,0022100195
518,OKC,BKN,2021-11-14,0022100196
521,ATL,MIL,2021-11-14,0022100193
524,LAC,MIN,2021-11-13,0022100191
526,UTA,MIA,2021-11-13,0022100185
531,ORL,WAS,2021-11-13,0022100187
533,NOP,MEM,2021-11-13,0022100188
536,IND,PHI,2021-11-13,0022100186
540,CLE,BOS,2021-11-13,0022100190
542,TOR,DET,2021-11-13,0022100189
547,CLE,DET,2021-11-12,0022100176
550,BOS,MIL,2021-11-12,0022100175
552,MEM,PHX,2021-11-12,0022100178
554,OKC,SAC,2021-11-12,0022100180
556,NOP,BKN,2021-11-12,0022100179
559,HOU,POR,2021-11-12,0022100177
565,SAS,DAL,2021-11-12,0022100181
568,DEN,ATL,2021-11-12,0022100182
571,CHA,NYK,2021-11-12,0022100174
573,GSW,CHI,2021-11-12,0022100183
575,LAL,MIN,2021-11-12,0022100184
580,UTA,IND,2021-11-11,0022100172
582,LAC,MIA,2021-11-11,0022100173
592,PHI,TOR,2021-11-11,0022100171
598,NOP,OKC,2021-11-10,0022100165
599,SAS,SAC,2021-11-10,0022100166
600,BOS,TOR,2021-11-10,0022100160
603,CLE,WAS,2021-11-10,0022100158
605,ORL,BKN,2021-11-10,0022100159
608,LAL,MIA,2021-11-10,0022100170
611,GSW,MIN,2021-11-10,0022100169
613,DEN,IND,2021-11-10,0022100167
618,MEM,CHA,2021-11-10,0022100164
619,NYK,MIL,2021-11-10,0022100161
620,CHI,DAL,2021-11-10,0022100163
623,HOU,DET,2021-11-10,0022100162
628,PHX,POR,2021-11-10,0022100168
631,UTA,ATL,2021-11-09,0022100156
634,LAC,POR,2021-11-09,0022100157
636,PHI,MIL,2021-11-09,0022100155
638,CHI,BKN,2021-11-08,0022100148
640,DAL,NOP,2021-11-08,0022100150
641,MEM,MIN,2021-11-08,0022100149
643,DEN,MIA,2021-11-08,0022100151
648,GSW,ATL,2021-11-08,0022100152
650,SAC,PHX,2021-11-08,0022100153
652,PHI,NYK,2021-11-08,0022100147
655,LAL,CHA,2021-11-08,0022100154
658,SAC,IND,2021-11-07,0022100143
662,OKC,SAS,2021-11-07,0022100144
